name,site,inn,hh_analysis_success,hh_employer_found,employer_id,employer_url,error,support_team_size_min,support_evidence,evidence_url,evidence_type,vacancies_count,vacancies_details,has_shifts,has_multiple_roles,max_team_size_found
Wildberries,https://www.wildberries.ru,7728316484,False,True,5661274,https://hh.ru/employer/5661274,,,,,,,,,,
OZON,https://www.ozon.ru,1027739244741,False,True,2846069,https://hh.ru/employer/2846069,,,,,,,,,,
Яндекс.Маркет,https://market.yandex.ru,7736207543,True,True,1740,https://hh.ru/employer/1740,,0.0,,,jobs,2.0,"[{'name': 'Специалист чат-поддержки Авто.ру', 'url': 'https://hh.ru/vacancy/128828867', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист по верификации партнёров', 'url': 'https://hh.ru/vacancy/128258879', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",False,False,0.0
СИТИЛИНК,https://www.citilink.ru,НЕ_НАЙДЕН,False,True,1993,https://hh.ru/employer/1993,,,,,,,,,,
М.Видео,https://www.mvideo.ru,НЕ_НАЙДЕН,True,True,2523,https://hh.ru/employer/2523,,88.0, (сменный график 24/7),https://hh.ru/vacancy/128920696,jobs,11.0,"[{'name': 'Product Manager', 'url': 'https://hh.ru/vacancy/128920696', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128861026', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК/Оператор базы данных', 'url': 'https://hh.ru/vacancy/128939752', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Devops-engineer (middle)', 'url': 'https://hh.ru/vacancy/128909505', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Android-разработчик', 'url': 'https://hh.ru/vacancy/128831781', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Golang разработчик в команду поиска и ленты', 'url': 'https://hh.ru/vacancy/127827544', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Ведущий системный администратор Linux', 'url': 'https://hh.ru/vacancy/128956513', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК на склад', 'url': 'https://hh.ru/vacancy/128939703', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128955741', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Android - разработчик (Senior)', 'url': 'https://hh.ru/vacancy/128763185', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Data-инженер', 'url': 'https://hh.ru/vacancy/128132970', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",True,False,0.0
Эльдорадо,https://www.eldorado.ru,НЕ_НАЙДЕН,True,True,2523,https://hh.ru/employer/2523,,88.0, (сменный график 24/7),https://hh.ru/vacancy/128920696,jobs,11.0,"[{'name': 'Product Manager', 'url': 'https://hh.ru/vacancy/128920696', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128861026', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК/Оператор базы данных', 'url': 'https://hh.ru/vacancy/128939752', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Devops-engineer (middle)', 'url': 'https://hh.ru/vacancy/128909505', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Android-разработчик', 'url': 'https://hh.ru/vacancy/128831781', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Golang разработчик в команду поиска и ленты', 'url': 'https://hh.ru/vacancy/127827544', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Ведущий системный администратор Linux', 'url': 'https://hh.ru/vacancy/128956513', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК на склад', 'url': 'https://hh.ru/vacancy/128939703', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128955741', 'schedule': 'Сменный график', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Android - разработчик (Senior)', 'url': 'https://hh.ru/vacancy/128763185', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Data-инженер', 'url': 'https://hh.ru/vacancy/128132970', 'schedule': 'Удаленная работа', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",True,False,0.0
DNS,https://www.dns-shop.ru,НЕ_НАЙДЕН,True,True,5920492,https://hh.ru/employer/5920492,,0.0,,,jobs,2.0,"[{'name': 'Оператор проектного отдела', 'url': 'https://hh.ru/vacancy/128598048', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист бизнес - процессов', 'url': 'https://hh.ru/vacancy/128847259', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",False,False,0.0
Лента,https://lenta.com,НЕ_НАЙДЕН,True,True,8620,https://hh.ru/employer/8620,,20.0,На HH.ru найдены признаки крупной поддержки: 4 открытых вакансий,https://hh.ru/vacancy/128840180,jobs,4.0,"[{'name': 'Аккаунт-менеджер в группу по работе с РМР продуктами (сейлз-хаус СберСеллер)', 'url': 'https://hh.ru/vacancy/128840180', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Специалист по рискам (Rambler&Co)', 'url': 'https://hh.ru/vacancy/128395826', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'Веб-аналитик', 'url': 'https://hh.ru/vacancy/127918652', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}, {'name': 'DevOps-инженер', 'url': 'https://hh.ru/vacancy/122099131', 'schedule': 'Полный день', 'employment': 'Полная занятость', 'is_support': True, 'team_size_mentions': []}]",False,False,0.0
Магнит,https://magnit.ru,НЕ_НАЙДЕН,False,True,11454714,https://hh.ru/employer/11454714,,,,,,,,,,
Пятерочка,https://5ka.ru,НЕ_НАЙДЕН,False,True,1861208,https://hh.ru/employer/1861208,,,,,,,,,,
