name,site_url,industry,inn,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_url,kb_url,support_email,vacancies_count,hh_employer_url
Магнит,https://magnit.ru,retail,,https://magnit.ru,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://magnit.ru,site,company_site,0,0,1,0,1,0,1,https://magnit.ru/faq,nan,nan,,nan
Яндекс,https://yandex.ru,it,7736207543,https://yandex.ru,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/1740,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/1740
VK,https://vk.com,it,7743001840,https://vk.com,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/15478,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/15478
Ингосстрах,https://www.ingos.ru,insurance,7714017986,https://www.ingos.ru,10,"На HH.ru найдено: 3 вакансий поддержки (Специалист письменной поддержки, Исследователь, Менеджер по продаже страховых продуктов)",https://hh.ru/employer/4309,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,3.0,https://hh.ru/employer/4309
СОГАЗ,https://www.sogaz.ru,insurance,7707049388,https://www.sogaz.ru,10,На HH.ru найдено: 6 вакансий поддержки,https://hh.ru/employer/596610,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,6.0,https://hh.ru/employer/596610
АльфаСтрахование,https://alfastrah.ru,insurance,,https://alfastrah.ru,62,"На HH.ru найдено: 27 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/370,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,27.0,https://hh.ru/employer/370
Аэрофлот,https://www.aeroflot.ru,airline,7708511828,https://www.aeroflot.ru,36,"На HH.ru найдено: 11 вакансий поддержки, 3 со сменным графиком",https://hh.ru/employer/1373,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,11.0,https://hh.ru/employer/1373
Уральские авиалинии,https://www.uralairlines.ru,airline,,https://www.uralairlines.ru,12,"На HH.ru найдено: 2 вакансий поддержки, 2 со сменным графиком (Оператор контакт-центра, Грузчик-экспедитор уборочного и бытового оборудования)",https://hh.ru/employer/36860,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,2.0,https://hh.ru/employer/36860
ПЭК,https://www.pecom.ru,logistics,,https://www.pecom.ru,45,На HH.ru найдено: 15 вакансий поддержки,https://hh.ru/employer/3838,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,15.0,https://hh.ru/employer/3838
Газпром,https://www.gazprom.ru,energy,7736050003,https://www.gazprom.ru,16,"На HH.ru найдено: 8 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/39305,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,8.0,https://hh.ru/employer/39305
Лукойл,https://lukoil.ru,energy,7706013788,https://lukoil.ru,37,"На HH.ru найдено: 8 вакансий поддержки, 5 со сменным графиком",https://hh.ru/employer/907345,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,8.0,https://hh.ru/employer/907345
Татнефть,https://www.tatneft.ru,energy,,https://www.tatneft.ru,31,"На HH.ru найдено: 12 вакансий поддержки, 3 со сменным графиком",https://hh.ru/employer/575665,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,12.0,https://hh.ru/employer/575665
Яндекс.Такси,https://taxi.yandex.ru,service,7704340310,https://taxi.yandex.ru,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/1740,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/1740
