name,site_url,industry,inn,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_url,kb_url,support_email,vacancies_count,hh_employer_url
Wildberries,https://www.wildberries.ru,retail,7728316484,https://www.wildberries.ru,0,,,,company_site,0,0,0,0,0,0,0,nan,nan,nan,,nan
OZON,https://www.ozon.ru,retail,,https://www.ozon.ru,23,На HH.ru найдено: 16 вакансий поддержки,https://hh.ru/employer/2180,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,16.0,https://hh.ru/employer/2180
Яндекс.Маркет,https://market.yandex.ru,retail,7736207543,https://market.yandex.ru,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/1740,jobs,hh_api,0,1,1,1,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/1740
СИТИЛИНК,https://www.citilink.ru,retail,,https://www.citilink.ru,0,,,site,company_site,0,1,0,0,0,0,0,nan,nan,nan,,nan
М.Видео,https://www.mvideo.ru,retail,,https://www.mvideo.ru,43,"На HH.ru найдено: 23 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/2523,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,23.0,https://hh.ru/employer/2523
Эльдорадо,https://www.eldorado.ru,retail,,https://www.eldorado.ru,43,"На HH.ru найдено: 23 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/2523,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,23.0,https://hh.ru/employer/2523
DNS,https://www.dns-shop.ru,retail,,https://www.dns-shop.ru,8,"На HH.ru найдено: 2 вакансий поддержки (Оператор проектного отдела, Специалист бизнес - процессов)",https://hh.ru/employer/5920492,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,2.0,https://hh.ru/employer/5920492
Лента,https://lenta.com,retail,,https://lenta.com,0,,,,company_site,0,0,0,0,0,0,0,nan,nan,nan,,nan
Магнит,https://magnit.ru,retail,,https://magnit.ru,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://magnit.ru,site,company_site,0,0,1,0,1,0,1,https://magnit.ru/faq,nan,nan,,nan
Пятерочка,https://5ka.ru,retail,,https://5ka.ru,0,,,site,company_site,0,0,0,0,0,0,0,nan,nan,nan,,nan
Яндекс,https://yandex.ru,it,7736207543,https://yandex.ru,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/1740,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/1740
VK,https://vk.com,it,7743001840,https://vk.com,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/15478,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/15478
Рамблер,https://rambler.ru,it,,https://rambler.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
1С,https://1c.ru,it,,https://1c.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Авито,https://www.avito.ru,it,7724458880,https://www.avito.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Дром,https://www.drom.ru,it,,https://www.drom.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Юла,https://youla.ru,it,,https://youla.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
2ГИС,https://2gis.ru,it,,https://2gis.ru,1,На HH.ru найдено: 1 вакансий поддержки (Специалист службы поддержки пользователей (сервис Отелло)),https://hh.ru/employer/64174,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,1.0,https://hh.ru/employer/64174
Ингосстрах,https://www.ingos.ru,insurance,7714017986,https://www.ingos.ru,10,"На HH.ru найдено: 3 вакансий поддержки (Специалист письменной поддержки, Исследователь, Менеджер по продаже страховых продуктов)",https://hh.ru/employer/4309,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,3.0,https://hh.ru/employer/4309
Ренессанс Страхование,https://www.renins.com,insurance,7736019967,https://www.renins.com,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
СОГАЗ,https://www.sogaz.ru,insurance,7707049388,https://www.sogaz.ru,10,На HH.ru найдено: 6 вакансий поддержки,https://hh.ru/employer/596610,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,6.0,https://hh.ru/employer/596610
АльфаСтрахование,https://alfastrah.ru,insurance,,https://alfastrah.ru,62,"На HH.ru найдено: 27 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/370,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,27.0,https://hh.ru/employer/370
ВСК,https://www.vsk.ru,insurance,,https://www.vsk.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Аэрофлот,https://www.aeroflot.ru,airline,7708511828,https://www.aeroflot.ru,36,"На HH.ru найдено: 11 вакансий поддержки, 3 со сменным графиком",https://hh.ru/employer/1373,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,11.0,https://hh.ru/employer/1373
S7 Airlines,https://www.s7.ru,airline,5408025106,https://www.s7.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Победа,https://www.pobeda.aero,airline,,https://www.pobeda.aero,1,На HH.ru найдено: 1 вакансий поддержки (Junior Разработчик 1С),https://hh.ru/employer/1520649,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,1.0,https://hh.ru/employer/1520649
Уральские авиалинии,https://www.uralairlines.ru,airline,,https://www.uralairlines.ru,12,"На HH.ru найдено: 2 вакансий поддержки, 2 со сменным графиком (Оператор контакт-центра, Грузчик-экспедитор уборочного и бытового оборудования)",https://hh.ru/employer/36860,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,2.0,https://hh.ru/employer/36860
Россия,https://rossiya-airlines.com,airline,,https://rossiya-airlines.com,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
РЖД,https://www.rzd.ru,transport,7708503727,https://www.rzd.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Деловые Линии,https://www.dellin.ru,logistics,3443011960,https://www.dellin.ru,3,На HH.ru найдено: 1 вакансий поддержки (Менеджер по работе с клиентами),https://hh.ru/employer/29413,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,1.0,https://hh.ru/employer/29413
ПЭК,https://www.pecom.ru,logistics,,https://www.pecom.ru,45,На HH.ru найдено: 15 вакансий поддержки,https://hh.ru/employer/3838,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,15.0,https://hh.ru/employer/3838
СДЭК,https://www.cdek.ru,logistics,,https://www.cdek.ru,3,На HH.ru найдено: 1 вакансий поддержки (Менеджер по поддержке B2B клиентов (СДЭК)),https://hh.ru/employer/10487927,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,1.0,https://hh.ru/employer/10487927
Boxberry,https://boxberry.ru,logistics,,https://boxberry.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Газпром,https://www.gazprom.ru,energy,7736050003,https://www.gazprom.ru,16,"На HH.ru найдено: 8 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/39305,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,8.0,https://hh.ru/employer/39305
Лукойл,https://lukoil.ru,energy,7706013788,https://lukoil.ru,37,"На HH.ru найдено: 8 вакансий поддержки, 5 со сменным графиком",https://hh.ru/employer/907345,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,8.0,https://hh.ru/employer/907345
Роснефть,https://www.rosneft.ru,energy,,https://www.rosneft.ru,1,На HH.ru найдено: 1 вакансий поддержки (Кассир торгового зала АЗК),https://hh.ru/employer/1490605,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,1.0,https://hh.ru/employer/1490605
Сургутнефтегаз,https://www.surgutneftegas.ru,energy,,https://www.surgutneftegas.ru,1,На HH.ru найдено: 1 вакансий поддержки (Специалист в контакт-центр),https://hh.ru/employer/2238683,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,1.0,https://hh.ru/employer/2238683
Татнефть,https://www.tatneft.ru,energy,,https://www.tatneft.ru,31,"На HH.ru найдено: 12 вакансий поддержки, 3 со сменным графиком",https://hh.ru/employer/575665,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,12.0,https://hh.ru/employer/575665
Яндекс.Такси,https://taxi.yandex.ru,service,7704340310,https://taxi.yandex.ru,10,На HH.ru найдено: 5 вакансий поддержки,https://hh.ru/employer/1740,jobs,hh_api,0,0,0,0,0,0,0,nan,nan,nan,5.0,https://hh.ru/employer/1740
Ситимобил,https://citimobil.ru,service,,https://citimobil.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Delivery Club,https://www.deliveryclub.ru,service,,https://www.deliveryclub.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Яндекс.Еда,https://eda.yandex.ru,service,7736207543,https://eda.yandex.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
СберМаркет,https://sbermarket.ru,service,,https://sbermarket.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Wargaming,https://wargaming.net,gaming,5902290393,https://wargaming.net,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
Мирапринт,https://myprint.ru,service,,https://myprint.ru,0,,,,,0,0,0,0,0,0,0,nan,nan,nan,,nan
