name,site,inn,hh_found,hh_employer_name,hh_employer_url,total_vacancies_found,support_vacancies_found,support_team_size_min,support_evidence,evidence_url,evidence_type,vacancy_details,analysis_success,error
Wildberries,https://www.wildberries.ru,7728316484,True,WILDBERRIES,https://hh.ru/employer/87021,3278,16,48,"На HH.ru найдено: 16 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/87021,jobs,"[{'name': 'Менеджер чат-поддержки', 'url': 'https://hh.ru/vacancy/125502414', 'schedule': 'Удаленная работа', 'estimated_size': 3}, {'name': 'Делопроизводитель', 'url': 'https://hh.ru/vacancy/128955420', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Ночной менеджер чат-поддержки', 'url': 'https://hh.ru/vacancy/128621422', 'schedule': 'Удаленная работа', 'estimated_size': 3}, {'name': 'Руководитель направления', 'url': 'https://hh.ru/vacancy/128777917', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Руководитель направления архитектуры WB банка, международное направление', 'url': 'https://hh.ru/vacancy/128951012', 'schedule': 'Полный день', 'estimated_size': 3}]",True,
OZON,https://www.ozon.ru,1027739244741,True,Ozon,https://hh.ru/employer/2180,3896,16,23,На HH.ru найдено: 16 вакансий поддержки,https://hh.ru/employer/2180,jobs,"[{'name': 'Стажёр/Backend-разработчик (Python)', 'url': 'https://hh.ru/vacancy/128750255', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Специалист по операционной деятельности', 'url': 'https://hh.ru/vacancy/128748997', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист службы поддержки клиентов (Ozon Travel)', 'url': 'https://hh.ru/vacancy/126876121', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Банковский представитель OZON Банка', 'url': 'https://hh.ru/vacancy/128917992', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Младший специалист поддержки информационных систем, Внутренние сервисы', 'url': 'https://hh.ru/vacancy/128904791', 'schedule': 'Удаленная работа', 'estimated_size': 1}]",True,
Яндекс.Маркет,https://market.yandex.ru,7736207543,True,Яндекс,https://hh.ru/employer/1740,772,2,2,"На HH.ru найдено: 2 вакансий поддержки (Специалист чат-поддержки Авто.ру, Специалист по верификации партнёров)",https://hh.ru/employer/1740,jobs,"[{'name': 'Специалист чат-поддержки Авто.ру', 'url': 'https://hh.ru/vacancy/128828867', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист по верификации партнёров', 'url': 'https://hh.ru/vacancy/128258879', 'schedule': 'Удаленная работа', 'estimated_size': 1}]",True,
СИТИЛИНК,https://www.citilink.ru,НЕ_НАЙДЕН,False,,,0,0,0,,,jobs,[],False,Company not found on HH
М.Видео,https://www.mvideo.ru,НЕ_НАЙДЕН,True,М.Видео-Эльдорадо,https://hh.ru/employer/2523,857,23,48,"На HH.ru найдено: 23 вакансий поддержки, 3 со сменным графиком",https://hh.ru/employer/2523,jobs,"[{'name': 'Product Manager', 'url': 'https://hh.ru/vacancy/128920696', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Продавец - консультант ТЦ Эссен', 'url': 'https://hh.ru/vacancy/128958861', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Продавец - консультант ТЦ Виктория Плаза', 'url': 'https://hh.ru/vacancy/128020857', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128861026', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Продавец-консультант ТЦ Парк Хаус', 'url': 'https://hh.ru/vacancy/128945175', 'schedule': 'Полный день', 'estimated_size': 1}]",True,
Эльдорадо,https://www.eldorado.ru,НЕ_НАЙДЕН,True,М.Видео-Эльдорадо,https://hh.ru/employer/2523,857,23,48,"На HH.ru найдено: 23 вакансий поддержки, 3 со сменным графиком",https://hh.ru/employer/2523,jobs,"[{'name': 'Product Manager', 'url': 'https://hh.ru/vacancy/128920696', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Продавец - консультант ТЦ Эссен', 'url': 'https://hh.ru/vacancy/128958861', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Продавец - консультант ТЦ Виктория Плаза', 'url': 'https://hh.ru/vacancy/128020857', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128861026', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Продавец-консультант ТЦ Парк Хаус', 'url': 'https://hh.ru/vacancy/128945175', 'schedule': 'Полный день', 'estimated_size': 1}]",True,
DNS,https://www.dns-shop.ru,НЕ_НАЙДЕН,True,DNS Головной офис,https://hh.ru/employer/5920492,23,2,2,"На HH.ru найдено: 2 вакансий поддержки (Оператор проектного отдела, Специалист бизнес - процессов)",https://hh.ru/employer/5920492,jobs,"[{'name': 'Оператор проектного отдела', 'url': 'https://hh.ru/vacancy/128598048', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Специалист бизнес - процессов', 'url': 'https://hh.ru/vacancy/128847259', 'schedule': 'Полный день', 'estimated_size': 1}]",True,
Лента,https://lenta.com,НЕ_НАЙДЕН,False,,,0,0,0,,,jobs,[],False,Company not found on HH
Магнит,https://magnit.ru,НЕ_НАЙДЕН,True,Архитектурно-Строительная Компания Магнит,https://hh.ru/employer/5494263,1,0,0,,,jobs,[],True,No support vacancies found
Пятерочка,https://5ka.ru,НЕ_НАЙДЕН,False,,,0,0,0,,,jobs,[],False,Company not found on HH
