company_id,name,industry,primary_site,data_quality_score,support_team_size,support_channels_count,has_24_7_support,data_sources
C0014,СИТИЛИНК,retail,https://www.citilink.ru,71,0,2,False,"enriched, jobs_detailed"
C0025,Авито,it,https://support.avito.ru,71,0,2,False,"enriched, jobs_detailed"
C0026,Дром,it,https://hh.ru/employer/1781300,71,0,2,False,"enriched, jobs_detailed, jobs_simple"
C0027,Юла,it,https://help.mail.ru/legal/terms/youla/recommendation?preset.hidden_ua=YoulaWEB%20Mozilla%2F5.0%20(Linux%3B%20Android%2010%3B%20K)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F135.0.0.0%20Mobile%20Safari%2F537.36%20User_is_promoted%3A%200,71,0,2,False,"enriched, jobs_detailed, jobs_simple"
C0023,Рамблер,it,https://rambler.ru,68,0,1,False,"enriched, jobs_detailed"
C0024,1С,it,https://1c.ru,68,0,1,False,"enriched, jobs_detailed"
C0054,Wargaming,gaming,https://eu.wargaming.net/support/,68,0,1,False,"enriched, jobs_detailed"
C0018,Лента,retail,https://lenta.com,65,0,0,False,"enriched, jobs_detailed"
C0020,Пятерочка,retail,https://5ka.ru,65,0,0,False,"enriched, jobs_detailed"
C0033,ВСК,insurance,https://hh.ru/employer/1296227,65,0,0,False,"enriched, jobs_detailed, jobs_simple"
C0050,Ситимобил,service,https://citimobil.ru,65,0,0,False,"enriched, jobs_detailed, jobs_simple"
C0051,Delivery Club,service,https://www.deliveryclub.ru/,65,0,0,False,"enriched, jobs_detailed"
C0052,Яндекс.Еда,service,https://eda.yandex.ru/Zubovo?shippingType=delivery,65,0,0,False,"enriched, jobs_detailed, jobs_simple"
C0053,СберМаркет,service,https://hh.ru/employer/11221935,65,0,0,False,"enriched, jobs_detailed, jobs_simple"
C0055,Мирапринт,service,https://myprint.ru/,65,0,0,False,"enriched, jobs_detailed"
